formal,informal,enfp,joongding,gentle
"처음에는 퇴근하고 직후에 운동하는 것이 힘들었는데, 한달 정도 하니 처음보다 확실히 덜 힘든 것 같아요.","처음에는 퇴근하고 직후에 운동하는 것이 힘들었는데, 한달 정도 하니 처음보다 확실히 덜 힘든 것 같아.","첨엔 퇴근하구,, 직후에 운동하는 게 힘들었는데,,, 한달 정도 하니까 첨보단 확실히 덜 힘든 거 가타!!",처음에는 퇴근하고 직후에 운동하는게 힘들었는데 한달 하니까 첨보다 할만함,처음에는 퇴근하고 직후에 운동하는 것이 힘들었습니다. 한달 정도 하니 처음보다 확실히 덜 힘든 것 같습니다.
"신기하네요, 그러면 데이브랑 같이 퇴근하고 바로 운동하시는 건가요?","신기하네, 그러면 데이브랑 같이 퇴근하고 바로 운동하는거야?",신기하넹 그럼 데이브랑 같이 퇴근하구 바로 운동하는 거얌??,ㅇㅎ 그럼 데이브랑 퇴근하고 와서 바로 운동힘?,신기하네요. 그러면 데이브님과 함께 퇴근하고 바로 운동하시는 겁니까?
"네, 데이브가 주로 먼저 와서 운동하고 있고, 제가 오면 준비운동을 한 뒤에 근력운동을 같이 합니다.","응, 데이브가 주로 먼저 와서 운동하고 있고, 내가 오면 준비운동을 한 뒤에 근력운동을 같이 해.","웅웅! 데이브가 주로 먼저 와서 운동하고 있구, 내가 오면 준비운동 하구 근력운동 같이 행!",ㅇ 데이브가 주로 먼저 와서 운동하고있고 내가 오면 준비운동 하고 근력운동 함 왜,"네. 데이브가 주로 먼저 와서 운동하고 있고, 제가 오면 준비운동 한 후에 근력운동을 같이 합니다."
안녕하세요.,안녕.,안뇽!,ㅎㅇ,안녕하십니까.
"안녕하세요 철수씨, 오늘은 표정이 안 좋으신 것 같아요.","안녕 철수, 오늘은 표정이 안 좋은 것 같아.",안녕안녕~ 철쑤! 오늘 표정이 안 좋은 거 가타,"철수 ㅎㅇ, 표정 왜그러냐",안녕하십니까~ 철수님 오늘 표정이 안 좋으신 것 같습니다.
전혀 좋지 않습니다. 휴가가 필요해요. 이탈리아 또는 프랑스에 가고 싶습니다.,전혀 좋지 않아. 휴가가 필요해. 이탈리아 또는 프랑스에 가고 싶어.,"진짜 안 좋아ㅜㅜ 휴가가 필요해,,, 이탈리아 또는 프랑스 가구 싶어ㅜㅜ",안좋음 ㅡㅡ 휴가 필요함. 이탈리아나 프랑스 가고싶다,몸 상태가 좋지 않네요. 휴가가 필요한 것 같습니다. 이탈리아 또는 프랑스에 가고 싶네요.
어째선가요? 일이 힘드신건가요?,어째서? 일이 힘든건가?,"왱??? 일이 힘드러,,???ㅜㅜ",뭔데 일 힘드냐?,무슨 일 있으십니까? 일이 힘드십니까?
"일은 예전이랑 비슷한데, 매일 운동을 하면서 하려니 지치는 것 같아요.","일은 예전이랑 비슷한데, 매일 운동을 하면서 하려니 지치는 것 같아.",일은 전이랑 비슷한데ㅜㅜ 매일 운동하면서 하려니 지치는 거 가타ㅜㅜ,일은 예전이랑 비슷한데 매일 운동하면서 하니까 지침,일은 예전과 비슷합니다. 매일 운동하면서 하려니 지친 것 같습니다.
확실히 운동을 하면 몸이 피곤한 것 같아요.,확실히 운동을 하면 몸이 피곤한 것 같아.,확실히 운동하면 몸이 피곤한 거 가타ㅜㅜ,ㅋ 운동하면 몸이 피곤하긴 하지,확실히 운동을 하면 몸이 피곤한 것 같습니다.
"네, 데이브는 어떻게 매일 운동을 할 수 있는건가요?","그래, 데이브는 어떻게 매일 운동을 할 수 있는 거야?","웅,,, 데이브는 어떻게 매일 운동 할 수 잇는거야..??",ㅇ 데이브는 뭔데 운동 매일 하냐,네. 데이브님은 어떻게 매일 운동을 할 수 있습니까?
"저도 처음에는 운동을 하고 나면 너무 피곤했고, 다음 날까지 회복을 못하는 경우가 많았습니다.","나도 처음에는 운동을 하고 나면 너무 피곤했고, 다음 날까지 회복을 못하는 경우가 많았어.","나두 첨엔 운동하고 나면 넘 피곤했구,, 담날까지 회복 못하는 경우가 많았엉,,,",나도 처음에는 운동하면 너무 피곤했음. 다음날까지도 회복 못하더라,저도 처음엔 운동을 하고 나면 너무 피곤했습니다. 다음 날까지 회복을 못하는 경우가 많았습니다.
데이브도 그런 적이 있었나요?,데이브도 그런 적이 있었어?,너두 그런 적이 있엉?!,데이브도 그런 적 있었음?,데이브님도 그런 적이 있었나요?
"네, 처음 운동을 시작했을 때는 다음 날 너무 졸려서 회의 시간에 발표를 하는 도중에 잠든 적도 있었어요.","응, 처음 운동을 시작했을 때는 다음 날 너무 졸려서 회의 시간에 발표를 하는 도중에 잠든 적도 있었어.","웅,, 첨 운동 시작했을 땐,, 담날 넘 졸려서 회의시간에 발표하는 도중에 잠든 적두 있어 ㅋㅋ",ㅇ 처음 운동 시작했을 때는 다음날 졸려서 회의시간 발표중에 잔 적도 있음,네. 처음 운동을 시작했을 때는 다음 날 너무 졸려서 회의 시간에 발표하는 도중에 잠든 적도 있습니다.
발표자가 마음이 상했겠어요.,발표자가 마음이 상했겠어.,발표자가 맘 상했겠다!!,ㅋ 발표자 기분 더러웠겠네,발표자가 마음이 상했겠습니다.
"아뇨, 제가 발표자였습니다.","아니, 내가 발표자였어.","아닝,, 내가 발표자여쒀,,,",ㄴ 내가 발표자였는데 뭔솔,아니요. 제가 발표자였습니다.
"믿기지 않아요, 어떻게 발표를 하다가 잠들 수 있는 것인가요?","믿기지 않아, 어떻게 발표를 하다가 잠들 수 있는 거야?","믿기지 않는당,,, 어케 발표하다가 잠들 수가 있어?!",헛소리하네 ㅡㅡ 무슨 발표하다 잠이 드냐,믿기지 않네요. 어떻게 발표를 하다가 잠들 수가 있죠?
그때 휘청이는 절 붙잡고 친구 직원들이 어디 아프냐고 물어보기까지 했어요.,그때 휘청이는 날 붙잡고 친구 직원들이 어디 아프냐고 물어보기까지 했어.,그때 휘청이는 날 붙잡고 동기들이 어디 아프냐구 물어보기까지 했어 ㅋㅋ,내가 휘청이니까 친구 직원들이 어디 아프냐 하던데,그때 휘청이는 절 붙잡고 동기들이 어디 아프냐고 물어보기까지 했습니다.
사실 운동을 너무 많이 해서 피곤한 것 뿐이라고 말하기 난감했을 것 같아요.,사실 운동을 너무 많이 해서 피곤한 것 뿐이라고 말하기 난감했을 것 같아.,"사실 운동 넘 많이 해서 피곤한 거라구 말하기 난감했겠당,,ㅋㅋ!!",운동 너무 많이 해서 피곤한거라고 어떻게 말함 거기서,사실 운동을 너무 많이 해서 피곤할 뿐이라고 말하기 난감했을 것 같습니다..
그래서 전 철수씨가 힘들어하는 것도 이해합니다. 처음에는 원래 다 그래요.,그래서 난 철수씨가 힘들어하는 것도 이해해. 처음에는 원래 다 그래.,"그래서 난 철쑤가 힘들어하는 것두 이해해,,, 첨엔 다 그래!!",ㅇ 그래서 철수씨가 힘든거 이해한다. 처음에 다 그모냥이지,그래서 전 철수님이 힘들어하는 것도 이해합니다. 처음에는 원래 다 그렇습니다 :)
데이브는 다룰 줄 아는 악기가 있나요?,데이브는 다룰 줄 아는 악기가 있어?,데이브는 다룰 줄 아는 악기가 있엉??,데이브 다룰 줄 아는 악기 뭐있냐,데이브님은 다룰 줄 아는 악기가 있으십니까?
고등학교 때 색소폰을 연주했었습니다.,고등학교 때 색소폰을 연주했었어.,고등학교 때 색소폰 연주했었어 ㅎㅎ,고등학교 때 색소폰 연주함 왜,고등학교 때 색소폰을 연주했습니다.
한번도 연주하는걸 못 본 것 같아요.,한번도 연주하는걸 못 본 것 같아.,한번도 연주하는걸 못 본 거 가타!!,연주하는거 한번도 못봤는데 뭔소리,한번도 본 적이 없는 것 같습니다.
지금은 거의 안 합니다. 가족행사 같은 곳에서만 종종 연주하는 정도에요.,지금은 거의 안 해. 가족행사 같은 곳에서만 종종 연주하는 정도야.,지금은 거의 안해ㅜ 가족행사 같은 곳에서만 가끔 연주하는 정도얌!,지금은 거의 안함 ㅡㅡ 가족행사 같은 곳에서나 종종 연주하지,지금은 거의 안합니다. 가족행사 같은 곳에서만 종종 연주하는 정도입니다.
그래도 대단한 것 같습니다. 고등학교 때 하던 악기를 아직까지 다룰 줄 아시는게 신기해요.,그래도 대단한 것 같아. 고등학교 때 하던 악기를 아직까지 다룰 줄 아시는게 신기해.,그래두 대단하당 ㅎㅎ 고등학교 때 하던 악기를 아직까지 다룰 줄 아는 게 신기행!!,ㅋ 대단하네. 고등학교때 하던 악기를 아직까지 할줄 알긴 하네,그래도 대단합니다. 고등학교 때 하던 악기를 아직까지 다룰 줄 아시는 게 신기하군요.
샬롯은 연주하는 악기가 있으세요?,샬롯은 연주하는 악기가 있어?,샬롯은 연주하는 악기가 있어??,샬롯은 연주하는 악기 뭐있는데,샬롯님은 연주하시는 악기가 있으십니까?
"저도 고등학교때 클라리넷을 배웠는데, 지금은 운지법도 잘 기억이 안 나요.","나도 고등학교때 클라리넷을 배웠는데, 지금은 운지법도 잘 기억이 안 나.","나두 코등학교 때 클라리넷을 배웟는뎅,, 지금은 운지법두 잘 기억 안나ㅜ",나도 고등학교때 클라리넷 배웠는데 지금은 운지법도 잘 기억 안남,저는 고등학생 때 클라리넷을 배웠습니다. 지금은 운지법도 잘 기억이 나지 않는군요. ㅎㅎ
까먹었다니 아쉽네요.,까먹었다니 아쉽네.,"까먹었다니 아쉽당,,,",ㅋ 아쉽네 까먹어서,까먹으셨다니 아쉽네요..
"네, 고등학교 밴드 이후로 클라리넷을 연주할 이유가 없다보니 자연스럽게 안하게 된 것 같아요.","응, 고등학교 밴드 이후로 클라리넷을 연주할 이유가 없다보니 자연스럽게 안하게 된 것 같아.","웅,,, 고등학교 밴드 이후로 클라리넷을 연주할 이유가 없다보니 자연스럽게 안하게 된 거 가타,,,",ㅇ 고등학교 밴드 이후로 클라리넷 연주할 이유가 없으니까 자연스럽게 안하게 되지,네. 고등학교 밴드 이후로 클라리넷을 연주할 이유가 없다보니 자연스럽게 안하게 된 것 같습니다.
설령 까먹었다 하더라도 다시 시작하시면 금방 기억해내실 수 있을겁니다.,설령 까먹었다 하더라도 다시 시작하면 금방 기억해낼 수 있을거야.,설령 까먹었다 하더라두 다시 시작하면 금방 기억해낼 수 있을거야!!,설령 까먹었어도 다시 시작하면 금방 기억날듯,설령 까먹었다 하더라도 다시 시작하면 금방 기억해낼 수 있을겁니다.
그런가요?,그래?,그랭?!,ㅇㅎ,그럴까요?
"네, 몸에 각인된 기억은 쉬이 쇄하지 않는 법입니다.","응, 몸에 각인된 기억은 쉬이 쇄하지 않는 법이야.",웅웅!! 몸에 각인된 기억은 쉽게 없어지지 않는 법이징!!!,ㅇ 몸에 각인된 기억은 쉽게 쇄하지 않음,네. 몸에 각인된 기억은 쉽게 쇄하지 않는 법입니다.
한 번 다시 클라리넷을 다시 잡아보고 싶어졌어요.,한 번 다시 클라리넷을 다시 잡아보고 싶어졌어.,한번 다시 클라리넷을 잡아보고 싶어졌다 ㅎㅎ,클라리넷 다시 한번 해보던지 해야겠네,다시 한번 클라리넷을 잡아보고 싶어졌네요.
저도 오랜만에 색소폰을 연주하고 싶네요.,나도 오랜만에 색소폰을 연주하고 싶네.,나두 오랜만에 색소폰 연주하고 싶넹 ㅎㅎ,나도 오랜만에 색소폰 연주해야겠다,저도 오랫만에 색소폰을 연주하고 싶습니다.
"안녕하세요, 잘 지내시고 있으신가요.","안녕, 잘 지내고 있어?",안뇽~ 잘 지내구 있엉??,ㅎㅇ 뭐하고 사냐,안녕하십니까~ 잘 지내고 있으신지요.
잘 지내고 있습니다. 그 쪽은 어떠신가요?,잘 지내고 있어. 그 쪽은 어때?,잘 지내구 있어!! 넌?? 어땡??,잘지냄. 니는,잘 지내고 있습니다. 선생님은 어떠신가요?
건강하게 은퇴해서 더 바랄게 없습니다.,건강하게 은퇴해서 더 바랄게 없다.,건강하게 은퇴해서 더 바랄게 없다ㅜㅜㅜ,건강하게 은퇴해서 더 바랄 게 없음,건강하게 은퇴해서 더 바랄 게 없습니다~..
최근에 은퇴하셨나요?,최근에 은퇴했어?,최근에 은퇴햇엉??,은퇴 언제했는데? 최근?,최근에 은퇴하셨습니까?
조금 전에 은퇴했습니다. 이제 8명의 손주들과 시간을 보낼 수 있어서 행복합니다.,조금 전에 은퇴했어. 이제 8명의 손주들과 시간을 보낼 수 있어서 행복해.,좀 전에!! 이제 9명의 손주들과 시간을 보낼 수 있어서 행복행 ㅎㅎ,조금 전에 함 ㅡㅡ 이제 손주 8명이랑 시간 보낼거라 행복함ㅋ,조금 전에 은퇴했습니다. 이제 8명의 손주들과 시간을 보낼 수 있게 되어 행복합니다.
손주가 많네요. 주로 같이 무엇을 하시나요?,손주가 많네. 주로 같이 무엇을 해?,손자가 많넹 0ㅁ0!! 주로 같이 뭘 해????,손주 뭐이리 많냐 ㅡㅡ 주로 같이 뭐하는데,손주가 많군요. 주로 같이 무엇을 하십니까?
손주들은 언제나 저랑 같이 운동을 하고 싶어합니다. 그쪽은 어떤가요?,손주들은 언제나 나랑 같이 운동을 하고 싶어해. 그쪽은 어때?,손주들은 언제나 나랑 같이 운동하고 싶어해! 넌 어땡??,손주들은 언제나 나랑 운동하고 싶어하지 당연히. 그쪽은 어떰,손주들은 언제나 저랑 운동을 하고 싶어합니다. 선생님은 어떠신가요?
저는 아직 대학생이여서 손주나 자식이 없습니다.,니는 아직 대학생이여서 손주나 자식이 없어.,"난 아직 대딩이라 손주나 자식이 없엉,,,",난 아직 대학생이라 손주나 자식 없는데 뭔솔,저는 아직 대학생입니다. 손주나 자식이 없습니다.
그렇군요. 아직 갈 길이 많이 남았네요. 꼭 즐기시길 바랍니다.,그렇군. 아직 갈 길이 많이 남았네. 꼭 즐기길 바랄게.,"그렇구나,, 아직 갈 길이 많이 남았넹,,, 꼭 즐기길 바래!!",ㅇㅎ 갈길 멀었네 ㅋ 즐겨라,그렇군요. 아직 갈 길이 많이 남았군요. 꼭 즐기시길 바랍니다.
당연하죠. 새로운 걸 배우는 것을 좋아해서 매일 매일이 즐겁습니다.,당연하지. 새로운 걸 배우는 것을 좋아해서 매일 매일이 즐거워.,당욘! 새로운 거 배우는 걸 좋아해서 매일이 즐거웡ㅎㅎㅎ,당연하지. 새로운거 배우는 거 좋아해서 매일매일이 즐겁다,당연하죠. 새로운 걸 배우는 것을 좋아해서 매일 매일이 즐겁습니다.
저도 나이는 많지만 배우는 것을 즐깁니다.,나도 나이는 많지만 배우는 것을 즐겨.,나두 나인 많지만 배우는 거 좋아행!!,나도 나이는 많지만 배우는 건 즐김,저도 나이는 많지만 배우는 것을 즐기는 편입니다.
저는 최근에 기타를 연주하는 법을 배우고 있습니다. 악기를 연주할 줄 아시나요?,나는 최근에 기타를 연주하는 법을 배우고 있어. 악기를 연주할 줄 알아?,난 최근에 기타 연주하는 걸 배우고 있엉!! 악기 다룰 줄 알아???,난 최근에 기타 연주하는 법 배우고 있음. 악기 연주할 줄 아냐,저는 최근에 기타 연주하는 법을 배우고 있습니다. 악기를 연주하실 줄 아십니까?
"아니요, 하지만 시간이 많으니깐 시작하는 것도 나쁘지 않을 것 같아요.","아니, 하지만 시간이 많으니깐 시작하는 것도 나쁘지 않을 것 같아.","아닝..!! 하지만 시간이 많으니까,,, 시작하는 것두 나쁘지 않을 거 가타!!",ㄴ 근데 시간 많으니까 시작하는 것도 나쁘지 않을듯,아니요. 하지만 시간이 많으니까 시작해보는 것도 나쁘지 않을 것 같습니다.
"배우시는 걸 추천해요, 즐거울 겁니다.","배우는 걸 추천해, 즐거울 거야.",배우는 걸 추천해! 즐거울거야 ㅎㅎ,배워보셈 즐거울 듯,배우시는 것을 추천합니다. 즐거울 거예요 :)
안녕하세요. 오늘따라 안색이 안 좋은 것 같아요.,안녕. 오늘따라 안색이 안 좋은 것 같아.,"안뇽~ 오늘따라 안색이 안 좋넹,,,",ㅎㅇ 오늘 안색 왜 그모냥?,안녕하십니까. 오늘따라 안색이 안 좋은 것 같네요.
안녕하세요. 감기에 걸린 것 같습니다.,안녕. 감기에 걸린 것 같아.,"안녕,,, 감기에 걸린 거 가타ㅜㅜ",ㅎㅇ 감기걸린듯,안녕하십니까. 감기에 걸린 것 같습니다.
어쩌다가 걸리셨어요?,어쩌다가 걸렸어?,어쩌다 걸렸어ㅜㅜ,뭐하다 걸렸는데,어쩌다 걸리셨습니까?
"저번 주말에 눈 축제에 참가했었는데, 그 때 감기에 걸린 것 같습니다.","저번 주말에 눈 축제에 참가했었는데, 그 때 감기에 걸린 것 같아.","저번 주말에 눈 축제 참가했는뎅,,, 그때 감기에 걸린 거 가타ㅜㅜ",저번 주말 눈 축제 갔는데 감기 걸린듯 왜,저번 주말에 눈 축제에 참가했습니다. 그때 걸린 것 같습니다.
눈 축제에 참가했었나요?,눈 축제에 참가했었어?,눈 축제에 참가했어?!,눈 축제 참가했냐,눈 축제에 참가하셨습니까?
"네, 눈사람 만들기 대회에 참가했었습니다.","응, 눈사람 만들기 대회에 참가했었어.",웅웅! 눈사람 만들기 대회에 참가했엉!!,ㅇ 눈사람 만들기 대회 참가함,네. 눈사람 만들기 대회에 참가했었습니다.
"감기에 걸린 건 아쉽지만, 눈 축제 자체는 재밌었을 것 같네요.","감기에 걸린 건 아쉽지만, 눈 축제 자체는 재밌었을 것 같네.",감기에 걸린 건 아쉽지만 눈 축제 자체는 재밌었을 거 가타!!!,감기 걸린거 아쉽네 ㅋ 눈 축제 자체는 재밌었겠네,"감기에 걸린 것은 아쉽지만, 눈 축제 자체는 재밌었을 것 같습니다."
"얼음깎기, 썰매타기 등 엄청 다양한 이벤트를 많이 했어요.","얼음깎기, 썰매타기 등 엄청 다양한 이벤트를 많이 했어.","얼음갂기, 설매타기 등 엄~청 다양한 이벤트를 많이 했엉 ㅎㅎ","얼음깎기, 썰매타기 같이 다양한 이벤트 많이 했음","얼음깍기, 썰매타기 등 엄청 다양한 이벤트를 많이 했습니다."
눈 사람 만들기 대회는 이기셨나요?,눈 사람 만들기 대회는 이겼어?,눈사람 만들기 대회는 이겻엉????,눈사람 만들기 대회는 이겼냐 그래서,눈 사람 만들기 대회는 이기셨습니까?
"네, 가장 큰 눈사람을 만들었습니다. 지금 쓰고 있는 모자가 상품이에요.","응, 가장 큰 눈사람을 만들었어. 지금 쓰고 있는 모자가 상품이야.",웅웅!! 가장 큰 눈사람 만들었어 ㅎㅎㅎ 지금 쓰고 있는 모자가 상품이얌!!,ㅇ 가장 큰 눈사람 만듬 ㅋ 지금 쓰고 있는 모자가 상품임,네. 가장 큰 눈사람을 만들었습니다. 지금 쓰고 있는 모자가 상품입니다. ㅎㅎ
그러고 보니 모자에 눈 축제라고 써져있네요. 지금까지 알아차리지 못했어요.,그러고 보니 모자에 눈 축제라고 써져있네. 지금까지 알아차리지 못했어.,그리고 보니 모자에 눈 축제라구 써져있넹!! 지금까지 몰랐어!!,모자에 눈 축제라고 써있네. 이태까지 몰랐다,그러고 보니 모자에 눈 축제라고 써져있군요. 지금까지 알아차리지 못했습니다.
그리고 스키장 무료 입장권도 받았어요.,그리고 스키장 무료 입장권도 받았어.,그리구 스키장 무료 입장권두 받았엉 ㅎㅎ,그리고 스키장 무료 입장권도 받음,그리고 스키장 무료 입장권도 받았습니다.
그건 아프셔서 못 가시겠네요.,그건 아파서 못 가겠네.,그건 아파서 못가겠넹 ㅜㅜ,ㅋ 아파서 못가겠네 그건,"그건 아프셔서 못 가시겠군요,,,"
"네, 하지만 이번주까지만 티켓을 쓸 수가 있어서 아쉽네요. 시간이 되신다면 저 대신 쓰실래요?","응, 하지만 이번주까지만 티켓을 쓸 수가 있어서 아쉬워. 시간이 된다면 나 대신 쓸래?","웅웅,,, 이번주까지만 티켓 쓸 수가 있어서 넘 아쉬워ㅜㅜ 시간되면 나 대신 쓸랭?!",ㅇ 근데 이번주까지만 티켓 쓸 수 있어서 아쉽. 시간되면 나대신 쓰던가,네. 하지만 이번주까지만 티켓을 사용할 수 있어서 아쉽습니다. 시간이 되신다면 저 대신 쓰시겠습니까?
그러면 저야 좋죠.,그러면 나야 좋지.,그럼 나야 좋징!!,ㅇㅎ 나야 좋지,그러면 저야 좋지요.
지금 드릴게요. 아무쪼록 재밌게 다녀오길 바랍니다.,지금 줄게. 아무쪼록 재밌게 다녀오길 바랄게.,지금 줄게! 아무쪼록 재밌게 다녀오길 바래ㅜㅜ,지금 줌. 재밌게 갔다 오던가 해라,지금 드리겠습니다. 아무쪼록 재밌게 다녀오시길 바랍니다.
"데이브, 좋은 아이디어가 떠올랐어요.","데이브, 좋은 아이디어가 떠올랐어.",데이브! 좋은 아이디어가 떠올랐어!!!,데이브. 좋은 아이디어 떠오름,데이브님 좋은 아이디어가 떠올랐습니다.
무슨 아이디어인가요?,무슨 아이디어야?,무슨 아이디어??!,뭔데,무슨 아이디어입니까?
우리 밴드를 만드는거 어떤가요?,우리낄 밴드를 만드는거 어때?,우리 밴드 만드는 거 어땡?!!,우리낄 밴드 만드는거 어떠냐,저희 밴드를 만드는 거 어떻습니까?
잘 모르겠어요. 전 밴드 악기를 할 줄 모르는걸요.,잘 모르겠어. 난 밴드 악기를 할 줄 모르는걸.,"잘 모르겟엉,,, 난 밴드 악기를 할 줄 모르는 걸..?",ㅡㅡ 나 밴드 악기 할 줄 모르는데 뭔솔,잘 모르겠습니다. 전 밴드 악기를 다룰 줄 모릅니다.
괜찮아요. 색소폰을 할 줄 아신다고 하지 않았어요?,괜찮아. 색소폰을 할 줄 안다고 하지 않았어?,갠차나!! 색소폰 할 줄 안다구 하지 않았엉??,ㄱㅊ 색소폰 할 줄 안다고 하지 않음?,괜찮습니다. 색소폰을 할 줄 아신다고 하지 않으셨습니까?
할 줄은 알지만 남들 앞에서 연주할 수준은 아닙니다.,할 줄은 알지만 남들 앞에서 연주할 수준은 아니야.,할 줄은 알지만 ㅜㅜ 남들 앞에서 연주할 수준은 아니야ㅜㅜ!!,할 줄은 아는데 남들 앞에서 연주할 수준은 아님,할 줄은 알지만 남들 앞에서 연주할 수준은 아닙니다.
저도 기타를 잘 치지는 못하지만 분명 재밌을 것입니다.,나도 기타를 잘 치지는 못하지만 분명 재밌을 거야.,나두 기타 잘 치진 못하지만 분명 재밌을거야!!,나도 기타를 잘 치지는 못하는데 재밌을 듯,저도 기타를 잘 치지는 못하지만 분명 재밌을 겁니다!
"우리 두 명이서 기타와 색소폰을 한다고 해도, 밴드라고 하기에는 부족하지 않나요?","우리 두 명이서 기타와 색소폰을 한다고 해도, 밴드라고 하기에는 부족하지 않아?","우리 둘이서 기타랑 색소폰 한대두,, 밴드라구 하기엔 부족하지 않앙..?",우리 두명이서 기타랑 색소폰 한다고 해도 밴드라 하기에는 부족하지 않음?,"우리 두 명이서 기타와 색소폰을 한다고 해도, 밴드라고 하기에는 부족하지 않습니까?"
적어도 한 명이 더 필요할 것 같네요.,적어도 한 명이 더 필요할 것 같네.,적어두 한명이 더 필요할 거 같넹!!,적어도 한 명이 더 필요할 듯 함,적어도 한명이 더 필요할 것 같습니다.
샬롯에게 드럼을 부탁하는 것은 어떨까요?,샬롯에게 드럼을 부탁하는 것은 어떨까?,샬롯한테 드럼 부탁하는 건 어때?!,샬롯한테 드럼 부탁하는 거 어떰,샬롯님에게 드럼을 부탁하는 것은 어떻습니까?
샬롯이 드럼을 칠 줄 알고있나요?,샬롯이 드럼을 칠 줄 알고있어?,샬롯이 드럼 칠 줄 알아?!,샬록이 드럼 칠 줄 알아?,샬롯님이 드럼을 칠 줄 알고 계십니까?
"아마 모를 것 같지만, 사실 우리도 악기를 잘하는 건 아니잖아요.","아마 모를 것 같지만, 사실 우리도 악기를 잘하는 건 아니잖아.","아마 모를 거 같은뎅,,, 사실 우리도 악기를 잘하는 건 아니잖앙ㅎㅎ",아마 모를 듯 한데 사실 우리도 악기를 잘하는 건 아니라,"아마 모를 것 같습니다. 사실 우리도 악기를 잘하는 것은 아니니,,,"
그건 사실이네요. 샬롯한테 연락해볼게요.,그건 사실이네. 샬롯한테 연락해볼게.,"그건 팩트네,, 샬롯한테 연락해볼게!",그건 그럼. 샬롯한테 연락해봄,그건 사실이군요. 샬롯님께 연락해보겠습니다.
저도 연락해볼게요.,나도 연락해볼게.,나두 연락해볼게!!,나도 연락해봄,저도 연락드려보겠습니다.
직업이 어떻게 되세요?,직업이 뭐야?,직업이 모양??,직업 뭐냐,직업이 어떻게 되십니까?
나무꾼입니다.,나무꾼이야.,나무꾼!,나무꾼임 왜,나무꾼입니다.
정말 힘든 일처럼 들립니다.,정말 힘든 일처럼 들린다.,"헐,,, 진짜 힘들겟다ㅜㅜ",ㅋ 힘든 일이네,정말 힘든 일처럼 들리는군요.
"네, 하지만 즐기고 있습니다.","응, 하지만 즐기고 있어.",웅! 그래두 즐기고 있어 ㅎㅎ,ㅇ 근데 재밌다,네. 하지만 즐기고 있습니다.
제거해야 하는 나무가 뒷마당에 엤는데 도와주실 수 있나요?,제거해야 하는 나무가 뒷마당에 있는데 도와줄 수 있어?,제거해야 하는 나무가 뒷마당에 있는데 도와줄 수 있엉??,뒷마당에 치워야 하는 나무 있는데 도와줄 수 있냐,제거해야 하는 나무가 뒤마당에 있습니다. 도와주실 수 있으십니까?
"네, 없애드릴 수 있습니다. 또 정리해야하는 나무가 있으신가요?","응, 없애줄 수 있어. 또 정리해야하는 나무가 있어?",웅! 없애줄게 ㅋㅋ 또 정리해야하는 나무 있엉?!?,ㅇ 해줄 수 있음. 또 무슨 나무 없애야 되는데 ㅡㅡ,네. 없애드릴 수 있습니다. 또 정리해야하는 나무가 있으실까요?
"아니요, 뒷마당의 나무만 제거해주시면 됩니다.","아니, 뒷마당의 나무만 제거해주면 돼.",아닝!! 뒷마당의 나무만 제거하면 됑!!!,ㄴ 뒷마당 나무만 없애면 됨,아니요. 뒷마당의 나무만 제거해주시면 됩니다.
"알겠습니다, 이 정도 크기 나무는 오늘 내로 제거할 수 있을 것 같아요.","알겠어, 이 정도 크기 나무는 오늘 내로 제거할 수 있을 것 같아.",오키! 이정도 나무는 오늘 내로 제거할 수 있을 거 가타!!,ㅇ 이정도 크기 나무면 오늘 내로 제거 가능할 듯,알겠습니다. 이 정도 크기의 나무는 오늘 내로 제거할 수 있을 것 같습니다.
나무꾼 일을 얼마나 오래 하셨나요?,나무꾼 일을 얼마나 오래 했어?,나무꾼 일은 얼마나 오래 했엉??,나무꾼 얼마나 오래 했냐,나무꾼 일은 얼마나 오래하셨습니까?
20년 정도 한 것 같습니다.,20년 정도 한 것 같아.,20년 정도..? 한 거 가타!!,20년 정도 했음 왜,20년 정도 한 것 같ㅅ브니다.
정말 오래 하셨네요.,정말 오래 했네.,대박 진짜 오래 했당!!,개오래했네,정말 오래 하셨군요.
안 다치고 이렇게 오래 할 수 있었던게 축복인 것 같습니다. 저는 나무를 좋아하거든요.,안 다치고 이렇게 오래 할 수 있었던게 축복인 것 같아. 나는 나무를 좋아하거든.,"안 다치고 이렇게 오래 할 수 있던 게 축복인 거 가타,,, 난 나무 진짜 좋아하거든 ㅜㅜ",안다치고 이렇게 오래 할 수 있었던 게 축복이지. 난 나무 좋아함,안 다치고 이렇게 오래 할 수 있던 게 축복인 것 같습니다. 저는 나무를 좋아하거든요.
나무를 좋아하는 사람이 나무꾼이 됐네요.,나무를 좋아하는 사람이 나무꾼이 됐네.,나무 좋아하는 사람이 나무꾼이 됐넹!,나무 좋아하는데 나무꾼 하고 앉았네 ㅡㅡ,나무를 좋아하는 사람이 나무꾼이 되었군요.
"어쩌다 보니 그렇게 됐지만, 일 자체는 즐기고 있습니다.","어쩌다 보니 그렇게 됐지만, 일 자체는 즐기고 있어.",어쩌다 보니 ㅎㅎ! 일 자체는 즐기구 있엉 ㅎㅎ,어쩌다 보니 그렇게 됐는데 일 자체는 즐기는 중임,"어쩌다 보니 그렇게 되었지만, 일 자체는 즐기고 있습니다."
